job position 1,-,<span>,Jobs-1,iw-so-tab-text,Senior Full Stack Engineer,.//*[@id='Jobs-1']/a,html/body/div[1]/div/div[2]/div[1]/div/main/article/section/div/div[4]/div/div/div[2]/div/div/ul/li[1]/a
job position 2,-,<span>,Jobs-2,iw-so-tab-text,QA Engineer,.//*[@id='Jobs-2']/a,html/body/div[1]/div/div[2]/div[1]/div/main/article/section/div/div[4]/div/div/div[2]/div/div/ul/li[2]/a
